;text;label;label_id
0;request urgent;urgent;0
1;request import;urgent;0
2;request realli urgent;urgent;0
3;request realli import;urgent;0
4;must complet mission now;urgent;0
5;must complet mission now;urgent;0
6;must complet mission right now;urgent;0
7;must complet mission instantli;urgent;0
8;must complet mission fast;urgent;0
9;must complet mission fast;urgent;0
10;must complet mission right now;urgent;0
11;must complet mission instantli;urgent;0
12;must complet mission fast;urgent;0
13;must complet mission fast;urgent;0
14;must complet mission now urgent;urgent;0
15;must complet mission now urgent;urgent;0
16;must prepar work immedi;urgent;0
17;must prepar work right now;urgent;0
18;must prepar work instantli;urgent;0
19;must prepar work fast;urgent;0
20;must prepar work minut;urgent;0
21;must prepar work immedi;urgent;0
22;must prepar work right now;urgent;0
23;must prepar work instantli;urgent;0
24;must prepar work fast;urgent;0
25;must prepar work minut;urgent;0
26;prepar work immedi;urgent;0
27;prepar work right now;urgent;0
28;prepar work instantli;urgent;0
29;prepar work fast;urgent;0
30;prepar work minut;urgent;0
31;prepar work immedi;urgent;0
32;prepar work right now;urgent;0
33;prepar work instantli;urgent;0
34;prepar work fast;urgent;0
35;prepar work minut;urgent;0
36;need paper quickli;urgent;0
37;need paper fast;urgent;0
38;need paper now;urgent;0
39;need paper right now;urgent;0
40;need paper immedi;urgent;0
41;need paper instantli;urgent;0
42;need paper urgent;urgent;0
43;need paper import;urgent;0
44;must provid product now;urgent;0
45;must provid product right now;urgent;0
46;must provid product immedi;urgent;0
47;must provid product hurri;urgent;0
48;must provid product hurri;urgent;0
49;must provid product fast;urgent;0
50;must provid product fast;urgent;0
51;give headphon instantli;urgent;0
52;give headphon immedi;urgent;0
53;give headphon now;urgent;0
54;give headphon right now;urgent;0
55;must pai bill now;urgent;0
56;must pai bill now;urgent;0
57;must pai bill right now;urgent;0
58;must pai bill right now;urgent;0
59;must pai bill immedi;urgent;0
60;must pai bill immedi;urgent;0
61;need credit card immedi;urgent;0
62;need credit card now;urgent;0
63;need credit card right now;urgent;0
64;need credit card instantli;urgent;0
65;want credit card immedi;urgent;0
66;want credit card now;urgent;0
67;want credit card right now;urgent;0
68;want credit card instantli;urgent;0
69;must give credit card immedi;urgent;0
70;must give credit card now;urgent;0
71;must give credit card right now;urgent;0
72;must give credit card instantli;urgent;0
73;need help pleas complet call now;urgent;0
74;need help pleas complet call right now;urgent;0
75;need help pleas complet call fast;urgent;0
76;need help pleas complet call soon possibl;urgent;0
77;need help pleas complet call fast;urgent;0
78;need help pleas finish call now;urgent;0
79;need help pleas finish call right now;urgent;0
80;need help pleas finish call fast;urgent;0
81;need help pleas finish call fast;urgent;0
82;need help pleas finish call soon possibl;urgent;0
83;need help someth pleas complet call now;urgent;0
84;need help someth pleas complet call right now;urgent;0
85;need help someth pleas complet call fast;urgent;0
86;need help someth pleas complet call fast;urgent;0
87;need help someth pleas complet call soon possibl;urgent;0
88;need help someth pleas finish call now;urgent;0
89;need help someth pleas finish call right now;urgent;0
90;need help someth pleas finish call fast;urgent;0
91;need help someth pleas finish call fast;urgent;0
92;need help someth pleas finish call soon possibl;urgent;0
93;print sheet instantli;urgent;0
94;print sheet immedi;urgent;0
95;print sheet now;urgent;0
96;print sheet right now;urgent;0
97;print sheet hurri;urgent;0
98;print sheet hurri;urgent;0
99;print sheet soon possibl;urgent;0
100;need help immedi;urgent;0
101;need help instantli;urgent;0
102;need help now;urgent;0
103;need help right now;urgent;0
104;need help fast;urgent;0
105;need help fast;urgent;0
106;want help immedi;urgent;0
107;want help instantli;urgent;0
108;want help now;urgent;0
109;want help right now;urgent;0
110;want help fast;urgent;0
111;want help fast;urgent;0
112;call hospit now;urgent;0
113;call hospit right now;urgent;0
114;call hospit immedi;urgent;0
115;call hospit hurri;urgent;0
116;call hospit hurri;urgent;0
117;call polic now;urgent;0
118;call polic right now;urgent;0
119;call polic immedi;urgent;0
120;call polic instantli;urgent;0
121;must give answer now;urgent;0
122;must give answer right now;urgent;0
123;must give answer immedi;urgent;0
124;must give answer fast;urgent;0
125;must give answer fast;urgent;0
126;must give answer soon possibl;urgent;0
127;should work immedi;urgent;0
128;should work now;urgent;0
129;should work right now;urgent;0
